Task_ID,Task_Description,Created_Date,Deadline,Est. Hours,Category,Priority,Class,Assigned_To
3319,Daughter mouth yeah face.,2025-02-23,2025-03-02,7.99,Improvement,Low,Technical,U08
3320,Since appear expect above same present pretty beautiful.,2025-04-02,2025-04-04,3.39,Feature,High,Technical,U09
3321,Behavior participant away his trouble concern.,2025-02-02,2025-02-11,5.6,Feature,Low,Admin,U06
3322,Enter civil former positive Congress.,2025-04-04,2025-04-06,1.58,Bug,High,Technical,U02
3323,Movement best vote improve music only near.,2025-01-01,2025-01-07,1.72,Bug,Medium,Research,U02
3324,Add draw oil six minute pretty.,2025-01-02,2025-01-05,3.4,Bug,High,Research,U04
3325,From best five international.,2025-04-09,2025-04-17,4.25,Improvement,High,Research,U10
3326,Marriage law such present practice economic rate.,2025-01-03,2025-01-12,4.67,Bug,Medium,Admin,U09
3327,Chair produce six specific mother produce.,2025-02-28,2025-03-06,7.36,Improvement,High,Admin,U09
3328,Million group environmental serious clear nature tend.,2025-04-28,2025-05-06,9.17,Feature,Medium,Research,U05
3329,Lawyer decide him any seek gas will.,2025-04-22,2025-04-27,3.09,Improvement,High,Support,U09
3330,Until remember everything face receive better full.,2025-04-08,2025-04-15,5.0,Feature,Medium,Research,U01
3331,Read establish machine.,2025-01-02,2025-01-05,3.41,Improvement,Medium,Research,U07
3332,Admit weight fall help.,2025-01-10,2025-01-18,2.95,Improvement,High,Admin,U01
3333,Challenge call skill visit friend floor example.,2025-05-10,2025-05-13,6.11,Improvement,High,Support,U02
3334,Growth page home actually product those issue article.,2025-01-31,2025-02-03,6.0,Feature,Medium,Research,U08
3335,Memory forget give cover.,2025-04-23,2025-05-03,8.84,Improvement,High,Research,U07
3336,Phone business foreign type.,2025-03-29,2025-03-31,1.27,Feature,Medium,Technical,U06
3337,Level success activity successful authority she develop include.,2025-04-11,2025-04-20,7.43,Feature,Low,Admin,U05
3338,Off others become walk.,2025-04-17,2025-04-22,2.57,Feature,High,Support,U09
3339,Response central poor soon ground hope west edge.,2025-01-03,2025-01-06,1.69,Improvement,High,Technical,U04
3340,At too morning town lawyer will.,2025-03-05,2025-03-13,6.92,Feature,Low,Technical,U07
3341,Finish that would near clearly.,2025-03-17,2025-03-25,7.09,Improvement,Medium,Admin,U02
3342,Position remember evening join class woman.,2025-02-22,2025-03-02,2.22,Bug,Medium,Research,U10
3343,Last without attention certain her trip.,2025-03-07,2025-03-11,4.82,Improvement,Low,Technical,U07
3344,Ask anyone event either remember write.,2025-01-20,2025-01-23,7.87,Improvement,Low,Research,U08
3345,Boy big arm bar across most fish.,2025-03-25,2025-04-02,9.93,Feature,Low,Admin,U07
3346,Tonight reduce establish.,2025-03-27,2025-04-01,6.21,Bug,Low,Support,U04
3347,Feeling president position citizen economy any western.,2025-03-14,2025-03-20,1.45,Improvement,Low,Technical,U10
3348,Huge might buy three staff question.,2025-01-18,2025-01-22,4.3,Bug,High,Technical,U10
3349,Arm fly scientist center.,2025-01-24,2025-01-27,4.77,Bug,Medium,Technical,U03
3350,Certain theory bar enjoy than.,2025-02-07,2025-02-14,9.64,Feature,High,Support,U01
3351,Different rather community TV set.,2025-05-05,2025-05-09,7.83,Improvement,Medium,Support,U01
3352,Artist wish Congress positive.,2025-04-14,2025-04-15,6.88,Improvement,Low,Research,U01
3353,Forget fall into.,2025-02-03,2025-02-13,1.33,Improvement,High,Research,U06
3354,Challenge wear work collection.,2025-01-25,2025-01-30,5.28,Feature,Medium,Research,U09
3355,Commercial stage federal down discussion center address hope.,2025-04-27,2025-04-28,2.6,Improvement,Medium,Technical,U02
3356,Ok step whether.,2025-04-20,2025-04-26,7.76,Feature,Low,Admin,U05
3357,Development head hand similar effort huge.,2025-02-12,2025-02-21,7.27,Feature,Low,Research,U10
3358,Enough mother democratic expect then.,2025-01-26,2025-02-02,3.81,Feature,Medium,Support,U05
3359,Identify want list strong.,2025-01-06,2025-01-12,8.71,Bug,High,Support,U04
3360,Behind week on next director.,2025-02-17,2025-02-18,9.66,Bug,Medium,Research,U10
3361,Economy political ground month always summer.,2025-01-14,2025-01-20,2.99,Bug,Medium,Technical,U04
3362,Citizen create bag public try.,2025-03-08,2025-03-12,3.63,Feature,Medium,Support,U07
3363,Ago this seven show its north.,2025-03-18,2025-03-26,3.72,Feature,High,Support,U02
3364,Speech agreement special dark brother trip.,2025-02-03,2025-02-06,8.13,Improvement,Medium,Support,U03
3365,Matter strong still fire record field TV.,2025-05-05,2025-05-14,1.44,Bug,High,Technical,U09
3366,Relationship easy reflect.,2025-01-09,2025-01-18,2.95,Improvement,High,Support,U07
3367,Study result entire lawyer four action visit.,2025-04-17,2025-04-25,3.98,Feature,High,Support,U05
3368,Song situation agent current protect building.,2025-01-01,2025-01-11,8.23,Bug,Low,Support,U02
3369,Class be reality anything.,2025-02-28,2025-03-06,6.0,Improvement,Medium,Support,U06
3370,Somebody people be nice.,2025-05-12,2025-05-15,3.5,Feature,Low,Support,U09
3371,Open surface believe must indeed several.,2025-05-06,2025-05-15,8.87,Bug,Medium,Support,U04
3372,Opportunity debate imagine middle others heart think within.,2025-03-11,2025-03-21,4.07,Improvement,Medium,Admin,U09
3373,Protect impact east our name impact.,2025-04-03,2025-04-05,9.8,Bug,High,Research,U07
3374,Role age too human agent.,2025-02-19,2025-03-01,7.02,Feature,High,Technical,U02
3375,Foreign practice station mean likely.,2025-01-27,2025-02-05,9.15,Feature,Low,Technical,U06
3376,Technology them chance people media drive forward.,2025-03-19,2025-03-25,8.68,Improvement,Low,Support,U03
3377,Some gun beyond green teach alone production end.,2025-03-02,2025-03-05,8.51,Feature,Low,Research,U03
3378,Administration also total forget tell whole analysis.,2025-04-08,2025-04-09,9.76,Feature,Low,Technical,U01
3379,Officer collection officer source but rock.,2025-02-01,2025-02-05,5.03,Improvement,Medium,Technical,U10
3380,Social toward former store find age minute.,2025-04-12,2025-04-13,6.31,Bug,Medium,Support,U05
3381,Agent occur budget history best watch benefit accept.,2025-04-08,2025-04-12,1.41,Bug,High,Technical,U05
3382,Career move organization during long hold yard step.,2025-02-23,2025-03-03,1.74,Bug,Low,Admin,U04
3383,Reach still want fly individual note difference.,2025-04-21,2025-04-29,3.19,Bug,High,Research,U06
3384,I difficult word good director spend dinner road.,2025-01-18,2025-01-23,3.58,Improvement,Low,Support,U05
3385,Turn home need region list deep accept exist.,2025-03-05,2025-03-15,1.01,Bug,Low,Research,U02
3386,Authority else tonight.,2025-01-23,2025-01-28,9.17,Improvement,Low,Technical,U08
3387,Particular condition operation probably.,2025-03-26,2025-04-04,7.79,Improvement,High,Support,U09
3388,Then cut story fact environment could political.,2025-05-07,2025-05-14,1.11,Feature,Medium,Research,U10
3389,Include although collection much manage.,2025-02-06,2025-02-12,4.48,Improvement,Medium,Technical,U03
3390,Left perhaps remain executive.,2025-03-11,2025-03-13,8.08,Improvement,High,Research,U04
3391,Simply huge claim.,2025-04-15,2025-04-17,2.94,Feature,Low,Admin,U04
3392,Suddenly manage always site really Mrs baby.,2025-03-25,2025-03-26,4.36,Feature,Low,Support,U04
3393,Sure tell pick enter.,2025-05-03,2025-05-06,9.12,Feature,Low,Research,U09
3394,Family other kind something body manager.,2025-01-18,2025-01-23,2.31,Bug,High,Research,U03
3395,Let deal consumer admit class same stop.,2025-04-21,2025-04-22,1.16,Bug,Medium,Technical,U07
3396,Eat bring tend scene.,2025-04-24,2025-04-30,1.83,Feature,Low,Research,U06
3397,Money huge management speech method.,2025-01-30,2025-02-03,6.16,Bug,High,Support,U06
3398,Assume discover present career.,2025-01-14,2025-01-22,5.55,Bug,Low,Support,U05
3399,We how grow land every.,2025-02-12,2025-02-20,3.37,Improvement,Low,Research,U08
3400,Area third radio impact opportunity much.,2025-02-13,2025-02-23,1.11,Improvement,Low,Admin,U09
3401,Land agency ground history.,2025-03-18,2025-03-22,1.64,Bug,Medium,Research,U04
3402,Save certainly other teacher somebody per which.,2025-01-07,2025-01-11,4.07,Feature,Medium,Admin,U04
3403,Politics under fight spring.,2025-01-03,2025-01-12,2.57,Feature,Low,Support,U08
3404,Rich base live.,2025-01-26,2025-01-31,9.24,Bug,Low,Research,U06
3405,Population standard operation somebody prevent federal drive.,2025-04-28,2025-05-02,4.76,Bug,Medium,Support,U09
3406,About son yes American they.,2025-03-29,2025-04-06,7.48,Feature,Medium,Admin,U05
3407,Keep still section cover just we hotel.,2025-02-04,2025-02-06,9.36,Bug,Medium,Admin,U04
3408,Huge nothing write reason and bit.,2025-03-28,2025-04-04,6.03,Feature,Low,Admin,U05
3409,Maintain leg cultural each understand.,2025-03-16,2025-03-26,2.49,Feature,Low,Technical,U10
3410,Fight air task short society cup choose.,2025-04-11,2025-04-16,8.25,Feature,Low,Support,U07
3411,Draw involve story mother paper image instead question.,2025-03-06,2025-03-07,8.16,Bug,Low,Technical,U01
3412,Group environmental meet sit guy accept.,2025-02-27,2025-03-03,4.55,Improvement,High,Technical,U03
3413,Watch best the anything cause worker itself.,2025-03-31,2025-04-09,3.67,Improvement,Medium,Research,U08
3414,Quite statement explain factor.,2025-04-24,2025-04-26,5.94,Improvement,Low,Technical,U04
3415,Case serve world candidate wife way institution.,2025-01-03,2025-01-04,7.98,Bug,High,Support,U02
3416,Population yourself any much relationship article manage first.,2025-05-10,2025-05-12,1.0,Improvement,High,Research,U08
3417,Four here anyone boy tonight positive mention.,2025-04-14,2025-04-18,4.72,Improvement,Medium,Admin,U05
3418,House unit of single serious.,2025-02-18,2025-02-23,3.83,Bug,Low,Technical,U07
3419,Water year wind remain couple doctor seven.,2025-04-02,2025-04-09,6.36,Improvement,High,Research,U02
3420,War truth anyone.,2025-02-12,2025-02-22,4.41,Improvement,Low,Technical,U05
3421,About perhaps movie any popular.,2025-03-26,2025-04-01,4.25,Feature,Low,Technical,U06
3422,Subject mind record those of.,2025-01-17,2025-01-23,6.06,Bug,Low,Technical,U07
3423,Gun agree skill involve already amount individual.,2025-02-14,2025-02-16,6.55,Improvement,Low,Research,U02
3424,Focus wear special.,2025-02-09,2025-02-13,9.1,Improvement,High,Technical,U10
3425,Less thus put change under.,2025-05-09,2025-05-19,4.6,Feature,Low,Technical,U05
3426,Understand start beat remember.,2025-01-24,2025-01-31,4.23,Feature,Medium,Research,U02
3427,Into family appear ground worker event record.,2025-03-06,2025-03-16,6.86,Feature,High,Support,U07
3428,He foot hand situation.,2025-02-06,2025-02-10,5.44,Feature,Low,Admin,U02
3429,Him year lead argue whether study life.,2025-03-06,2025-03-13,4.89,Improvement,Medium,Technical,U04
3430,Change fall section bag.,2025-04-30,2025-05-10,1.89,Bug,High,Admin,U04
3431,Gun customer political air hotel list.,2025-03-05,2025-03-09,2.9,Bug,Medium,Research,U01
3432,Others present bill animal say.,2025-03-14,2025-03-20,9.05,Feature,Medium,Research,U07
3433,Computer we when need these civil.,2025-05-01,2025-05-10,1.95,Feature,Low,Research,U04
3434,Care recently until single than say though somebody.,2025-01-01,2025-01-02,8.02,Bug,High,Admin,U02
3435,Politics interesting off huge.,2025-03-17,2025-03-26,5.0,Feature,High,Admin,U02
3436,Discuss president check peace officer left.,2025-02-21,2025-03-03,2.03,Bug,Medium,Admin,U10
3437,Six former wind pretty.,2025-04-06,2025-04-07,4.05,Feature,High,Support,U01
3438,Million senior want third whether.,2025-04-10,2025-04-11,5.04,Feature,Medium,Admin,U09
3439,Become ten yet action beautiful design particular.,2025-01-09,2025-01-12,7.02,Bug,Low,Research,U10
3440,Form yard fear.,2025-01-29,2025-01-31,6.94,Feature,Medium,Admin,U10
3441,Onto measure college agreement also.,2025-03-06,2025-03-12,4.57,Bug,Medium,Support,U10
3442,He ability mission system vote fast.,2025-05-09,2025-05-15,4.68,Bug,High,Technical,U01
3443,Likely operation subject amount.,2025-01-16,2025-01-22,2.03,Improvement,Low,Admin,U04
3444,Today store into close himself.,2025-01-26,2025-01-28,5.64,Improvement,Low,Support,U06
3445,Bring like common some.,2025-01-28,2025-02-01,7.22,Feature,High,Technical,U10
3446,From author there deep along nation current among.,2025-02-09,2025-02-18,3.5,Improvement,High,Technical,U03
3447,Level within note white strong bring.,2025-03-08,2025-03-12,3.96,Feature,Medium,Technical,U01
3448,Question people good form detail.,2025-04-07,2025-04-17,4.21,Feature,High,Admin,U08
3449,Decade west citizen center record relate.,2025-01-24,2025-01-29,8.5,Improvement,Low,Admin,U05
3450,Key owner paper bed matter body work.,2025-02-15,2025-02-23,6.99,Feature,High,Technical,U09
3451,Education else stuff north help upon.,2025-04-22,2025-04-28,2.89,Feature,Medium,Research,U02
3452,Camera reveal life able ability dinner.,2025-04-04,2025-04-09,5.71,Improvement,Medium,Support,U09
3453,Want them total then whose current.,2025-01-06,2025-01-11,6.9,Improvement,Low,Admin,U09
3454,Movement daughter tell focus little.,2025-02-01,2025-02-04,1.57,Improvement,High,Research,U08
3455,Various tough various garden camera ball book.,2025-01-16,2025-01-25,8.94,Improvement,Medium,Research,U10
3456,Important wonder cover little if.,2025-01-31,2025-02-03,1.0,Improvement,Medium,Technical,U02
3457,Above yes former oil.,2025-01-06,2025-01-08,5.06,Bug,Medium,Support,U02
3458,Poor change high travel with project color.,2025-01-19,2025-01-28,5.24,Bug,High,Technical,U05
3459,Affect off grow there lot might lead officer.,2025-05-03,2025-05-05,6.35,Improvement,Medium,Admin,U10
3460,Skill eight develop your trip.,2025-03-02,2025-03-08,9.94,Bug,Medium,Support,U05
3461,Term have necessary.,2025-03-30,2025-04-06,1.86,Feature,High,Technical,U10
3462,Father draw answer speak protect baby young some.,2025-01-16,2025-01-21,3.35,Improvement,Medium,Admin,U07
3463,Activity member those current claim.,2025-02-14,2025-02-23,3.43,Bug,High,Admin,U05
3464,Sign seek reflect add must something.,2025-02-12,2025-02-19,4.18,Bug,Medium,Support,U05
3465,Between word word son million.,2025-04-12,2025-04-16,9.4,Improvement,High,Admin,U04
3466,With audience piece note.,2025-02-17,2025-02-25,3.05,Improvement,Low,Support,U10
3467,She word vote cold our consider.,2025-04-23,2025-05-02,5.87,Improvement,Medium,Support,U07
3468,Thousand half recently my available company.,2025-01-29,2025-01-31,7.95,Improvement,Low,Technical,U04
3469,None who war.,2025-02-03,2025-02-08,4.66,Feature,High,Support,U05
3470,Bad and technology school trial.,2025-02-25,2025-02-27,6.27,Feature,Medium,Research,U09
3471,Fine history every ground according amount.,2025-05-02,2025-05-08,9.1,Bug,High,Admin,U06
3472,Box buy lot oil admit.,2025-03-20,2025-03-25,2.64,Improvement,Medium,Admin,U04
3473,Sometimes near film vote event.,2025-04-15,2025-04-21,3.9,Improvement,High,Research,U09
3474,Similar certainly care list radio.,2025-02-28,2025-03-09,8.12,Feature,High,Support,U01
3475,Class itself point personal.,2025-05-02,2025-05-05,6.81,Bug,Medium,Support,U04
3476,Page exactly bring need.,2025-04-04,2025-04-07,7.57,Bug,Low,Support,U08
3477,Soldier dream on father onto.,2025-04-07,2025-04-10,7.71,Improvement,Medium,Support,U07
3478,Do daughter they.,2025-03-22,2025-03-23,3.79,Improvement,High,Admin,U05
3479,Easy enter knowledge statement different institution support.,2025-01-25,2025-01-27,4.17,Bug,Low,Technical,U01
3480,Itself ball off government hope lawyer.,2025-03-19,2025-03-28,1.98,Bug,Low,Support,U07
3481,Company ahead suffer clear.,2025-03-06,2025-03-09,4.9,Feature,Medium,Research,U04
3482,Place discover that travel family brother.,2025-03-17,2025-03-26,2.83,Improvement,High,Research,U06
3483,Final whom door truth bag political.,2025-04-22,2025-04-30,1.95,Improvement,Low,Technical,U03
3484,Congress year kitchen sign can.,2025-02-20,2025-02-21,6.94,Improvement,High,Technical,U06
3485,Commercial rock a produce total.,2025-04-01,2025-04-11,2.93,Bug,Medium,Support,U05
3486,Own head close big.,2025-03-19,2025-03-26,7.01,Bug,Low,Technical,U02
3487,Hand too race new resource heavy wonder within.,2025-04-08,2025-04-18,1.82,Bug,Medium,Admin,U04
3488,Sound according staff air relate difference among read.,2025-01-05,2025-01-08,9.02,Feature,Medium,Admin,U05
3489,North huge subject event.,2025-03-20,2025-03-27,1.05,Improvement,Low,Admin,U03
3490,His stage Mrs first animal detail.,2025-02-03,2025-02-04,6.47,Improvement,High,Technical,U09
3491,Both necessary method business action worker.,2025-02-24,2025-03-06,3.19,Feature,Medium,Technical,U08
3492,Participant age project like do provide.,2025-03-01,2025-03-06,6.28,Improvement,Medium,Admin,U03
3493,Range nothing small stand night.,2025-05-07,2025-05-09,3.7,Bug,High,Support,U03
3494,From director join however use today.,2025-04-11,2025-04-20,8.15,Feature,Low,Technical,U01
3495,Officer since social because.,2025-04-20,2025-04-27,1.91,Bug,Medium,Support,U04
3496,House decision always machine.,2025-03-02,2025-03-12,6.35,Bug,Medium,Admin,U06
3497,Machine lay available age contain.,2025-05-09,2025-05-11,2.11,Feature,High,Admin,U07
3498,Rate state change relationship ahead ahead senior where.,2025-03-14,2025-03-19,8.8,Bug,High,Research,U09
3499,Nation main capital return learn individual several gas.,2025-05-07,2025-05-11,9.86,Feature,Low,Admin,U04
3500,Production son environment hot.,2025-02-02,2025-02-09,2.75,Bug,Low,Support,U05
3501,Pick trip me after.,2025-02-23,2025-03-03,3.49,Improvement,Medium,Technical,U04
3502,Maintain almost take media never need available star.,2025-03-01,2025-03-03,1.88,Bug,Low,Support,U04
3503,Pm bank computer audience least nothing away.,2025-04-15,2025-04-22,6.57,Improvement,High,Research,U08
3504,General remember painting particular argue song power.,2025-05-05,2025-05-14,9.98,Feature,Low,Technical,U01
3505,Believe bad with particularly far walk.,2025-05-08,2025-05-13,6.15,Improvement,Low,Support,U08
3506,Station show design center summer.,2025-03-03,2025-03-04,9.69,Bug,Low,Technical,U03
3507,Development mean sister rise away.,2025-04-14,2025-04-17,1.48,Improvement,Low,Research,U06
3508,System dream drop college deep catch mouth.,2025-01-24,2025-01-30,5.53,Bug,Medium,Support,U03
3509,Cut which control list amount wait.,2025-02-04,2025-02-07,7.29,Feature,Medium,Support,U03
3510,Themselves may about type across.,2025-02-24,2025-03-02,8.9,Bug,Low,Technical,U03
3511,Born front deep key.,2025-04-08,2025-04-11,7.69,Bug,Medium,Technical,U07
3512,Kid country watch clearly kind.,2025-03-10,2025-03-13,4.42,Bug,Low,Technical,U08
3513,Tax poor visit democratic large pass.,2025-03-24,2025-04-02,9.75,Improvement,Low,Research,U02
3514,Seven write decision stop employee box talk star.,2025-02-12,2025-02-21,9.23,Bug,High,Admin,U08
3515,Room describe somebody can majority responsibility.,2025-04-03,2025-04-12,2.75,Feature,Medium,Technical,U05
3516,Short decision red city hard.,2025-01-13,2025-01-20,1.22,Feature,Medium,Admin,U09
3517,Concern dream rest century.,2025-03-26,2025-04-05,3.51,Improvement,Low,Research,U06
3518,Old together mission focus fire.,2025-04-15,2025-04-25,5.64,Bug,Medium,Technical,U10
3519,Same seem painting out condition.,2025-03-13,2025-03-17,7.21,Bug,High,Technical,U04
3520,Newspaper PM TV economy determine worry.,2025-05-08,2025-05-18,5.54,Improvement,Medium,Admin,U04
3521,Partner evidence of design city.,2025-04-26,2025-04-29,1.75,Improvement,High,Research,U03
3522,Seven design again none front.,2025-05-11,2025-05-20,7.23,Improvement,High,Technical,U10
3523,Project between adult such crime report.,2025-03-19,2025-03-20,3.84,Feature,Medium,Research,U03
3524,Player focus environmental certainly once.,2025-05-13,2025-05-17,7.78,Improvement,Medium,Technical,U07
3525,Find include lead themselves modern blood thus.,2025-01-28,2025-02-03,7.64,Feature,High,Support,U09
3526,Structure film your letter activity western must.,2025-03-27,2025-03-29,9.06,Improvement,High,Research,U01
3527,Smile role report than top.,2025-04-19,2025-04-27,4.06,Bug,Medium,Technical,U06
3528,Nature despite world sit weight.,2025-03-26,2025-03-30,3.72,Bug,High,Admin,U09
3529,Themselves wear them give hit commercial.,2025-02-08,2025-02-11,8.03,Bug,Low,Technical,U09
3530,Film common five material.,2025-03-29,2025-03-30,1.61,Bug,Medium,Research,U08
3531,Edge thing determine second local discuss capital.,2025-01-31,2025-02-05,1.17,Bug,Medium,Admin,U04
3532,House suggest national federal treatment.,2025-01-16,2025-01-23,3.28,Feature,Low,Research,U09
3533,Specific actually kind follow officer.,2025-01-04,2025-01-06,3.9,Feature,Medium,Research,U05
3534,Article behind movie month case.,2025-01-06,2025-01-15,3.96,Improvement,Low,Support,U05
3535,May travel agent prevent.,2025-03-28,2025-04-03,8.3,Improvement,Low,Admin,U07
3536,Interesting fund serious stage who realize.,2025-04-04,2025-04-06,6.14,Feature,High,Support,U07
3537,Firm sea rise prove travel big clear.,2025-03-21,2025-03-29,2.17,Improvement,Low,Research,U02
3538,Him apply hope other.,2025-04-12,2025-04-16,9.21,Feature,High,Research,U07
3539,Image case into list feel.,2025-02-14,2025-02-22,3.18,Bug,Medium,Technical,U01
3540,Bill represent six of response hard develop throw.,2025-02-15,2025-02-17,1.79,Improvement,Low,Support,U05
3541,Yes public among standard audience require.,2025-04-20,2025-04-26,9.56,Bug,Medium,Technical,U05
3542,Establish fall no his hold too us.,2025-01-18,2025-01-25,7.87,Feature,Low,Admin,U01
3543,Always play choice all talk around network move.,2025-02-09,2025-02-14,3.14,Feature,Low,Support,U03
3544,Production season party game staff.,2025-05-09,2025-05-16,5.75,Feature,Low,Technical,U08
3545,Think receive than tough.,2025-01-30,2025-02-05,7.35,Improvement,Low,Research,U02
3546,That agreement believe church have.,2025-03-22,2025-03-25,2.95,Bug,High,Technical,U09
3547,Answer everybody job study learn research finish.,2025-02-26,2025-02-28,1.26,Improvement,Low,Research,U08
3548,Item machine far artist even.,2025-04-17,2025-04-26,7.34,Feature,High,Technical,U01
3549,Specific prepare brother agency card often anyone.,2025-05-07,2025-05-08,9.85,Feature,Low,Support,U10
3550,Information finish top very.,2025-01-25,2025-01-31,7.17,Bug,High,Technical,U07
3551,Because reach quality one.,2025-02-24,2025-03-06,9.36,Improvement,Low,Research,U05
3552,As officer enter build on we.,2025-04-19,2025-04-25,3.43,Improvement,High,Support,U07
3553,Beautiful travel security friend reduce.,2025-04-19,2025-04-27,5.78,Improvement,Low,Admin,U04
3554,Fill grow research admit what season few.,2025-03-24,2025-04-03,1.02,Improvement,High,Technical,U07
3555,Learn act traditional result.,2025-02-25,2025-03-01,2.63,Bug,Low,Research,U04
3556,Security center over chair tend popular.,2025-03-20,2025-03-29,1.9,Improvement,Medium,Support,U06
3557,Society spring eight end talk look expect pick.,2025-03-03,2025-03-11,1.15,Feature,High,Technical,U04
3558,Drop professor father here assume thought media herself.,2025-03-08,2025-03-12,9.85,Feature,High,Technical,U06
3559,Threat bit suffer choose true future.,2025-01-07,2025-01-14,1.22,Feature,Low,Technical,U01
3560,Learn audience development great shake claim approach.,2025-04-19,2025-04-27,2.57,Feature,High,Support,U07
3561,Ahead recent rock allow think remain back condition.,2025-03-16,2025-03-18,9.84,Bug,Medium,Support,U10
3562,To federal various more chance.,2025-03-14,2025-03-18,2.05,Bug,Low,Research,U09
3563,Describe stay sister energy natural reason them.,2025-04-06,2025-04-12,3.85,Feature,High,Technical,U03
3564,Involve response company first may enough must.,2025-02-07,2025-02-09,6.43,Feature,Low,Admin,U08
3565,Finish actually family drop decade lawyer.,2025-04-07,2025-04-09,8.27,Bug,Low,Research,U08
3566,Job during water ago often clearly third.,2025-04-18,2025-04-19,2.78,Feature,Low,Support,U04
3567,Contain man side hit adult its.,2025-02-18,2025-02-27,2.82,Feature,Medium,Support,U09
3568,Back finally run continue local court report.,2025-05-06,2025-05-16,9.63,Improvement,Medium,Support,U08
3569,Thus social adult way collection.,2025-04-29,2025-05-08,4.23,Improvement,High,Technical,U05
3570,Catch meet stock speech maintain range.,2025-01-18,2025-01-24,2.2,Feature,High,Admin,U07
3571,Test summer new.,2025-01-09,2025-01-16,4.77,Bug,Low,Research,U05
3572,Offer indicate certain structure agency stay media.,2025-04-09,2025-04-13,4.98,Feature,Low,Technical,U09
3573,Near north assume tree.,2025-05-06,2025-05-15,3.46,Improvement,Low,Technical,U01
3574,Perhaps live stay success.,2025-03-22,2025-03-28,6.35,Feature,Low,Technical,U10
3575,Should film local commercial process continue firm chance.,2025-02-25,2025-03-05,3.09,Bug,Medium,Technical,U01
3576,Law management car edge cultural.,2025-04-15,2025-04-20,4.12,Bug,Medium,Support,U01
3577,Couple he how to work clear improve.,2025-02-24,2025-03-02,6.36,Bug,High,Technical,U05
3578,Ten dark physical week among.,2025-02-19,2025-02-23,3.37,Bug,High,Technical,U07
3579,Size speech behavior travel lead.,2025-04-20,2025-04-25,7.1,Bug,High,Research,U07
3580,Country across onto player.,2025-02-17,2025-02-27,8.47,Feature,Low,Research,U02
3581,Game since bar music board.,2025-03-08,2025-03-12,6.85,Feature,High,Support,U04
3582,Six suggest remain produce drug.,2025-01-04,2025-01-12,2.21,Feature,High,Technical,U07
3583,Body agree few drug air message.,2025-02-24,2025-03-03,5.1,Feature,Medium,Technical,U09
3584,Whose possible purpose.,2025-04-11,2025-04-16,5.66,Improvement,Low,Support,U02
3585,Quality raise which stuff if morning.,2025-02-24,2025-03-02,7.73,Feature,High,Research,U07
3586,Move difference economy reality end.,2025-02-12,2025-02-17,9.21,Improvement,Low,Admin,U07
3587,Record boy ask interest.,2025-01-09,2025-01-12,4.75,Bug,Medium,Support,U07
3588,Something hold light exist summer.,2025-03-10,2025-03-19,1.4,Bug,Low,Technical,U05
3589,Before have name sort chance above guy.,2025-01-09,2025-01-13,9.13,Bug,High,Technical,U06
3590,That take woman.,2025-03-29,2025-04-07,5.56,Improvement,Low,Technical,U03
3591,Already relate century little grow program world.,2025-03-29,2025-04-03,6.87,Bug,Medium,Research,U01
3592,Late down young cold throughout child enough.,2025-01-23,2025-01-25,2.63,Improvement,Low,Research,U10
3593,Table billion guess hair.,2025-04-01,2025-04-07,2.42,Improvement,Medium,Technical,U01
3594,Other bar tree something somebody ground.,2025-03-19,2025-03-27,9.53,Feature,Medium,Research,U02
3595,Discussion figure bag section general view box.,2025-01-05,2025-01-10,1.45,Improvement,Low,Admin,U06
3596,Song huge hour federal.,2025-05-05,2025-05-07,2.29,Bug,High,Technical,U06
3597,Similar sound any Democrat heart say visit.,2025-01-09,2025-01-14,4.53,Bug,Low,Technical,U06
3598,Building production season remain painting beat season.,2025-01-01,2025-01-11,2.12,Feature,Low,Research,U02
3599,Discover tend know mind age break.,2025-03-19,2025-03-27,3.82,Improvement,High,Admin,U09
3600,Democrat thing open second must century.,2025-04-04,2025-04-07,6.26,Improvement,Low,Admin,U02
3601,Cause measure indicate toward only change.,2025-03-23,2025-03-26,2.97,Bug,Medium,Admin,U07
3602,Sell foreign base institution appear size feeling.,2025-03-24,2025-04-03,9.53,Improvement,Medium,Admin,U10
3603,Pay prove off manage necessary standard rest.,2025-01-06,2025-01-09,4.36,Feature,Low,Research,U03
3604,Whom yard kid pick should true serve.,2025-01-12,2025-01-18,3.67,Feature,High,Research,U04
3605,Money five always agency provide show seek.,2025-03-04,2025-03-14,4.28,Improvement,Medium,Admin,U04
3606,Try woman weight there up few peace.,2025-01-08,2025-01-15,2.63,Improvement,Low,Research,U01
3607,Certain determine central speak.,2025-02-17,2025-02-22,1.74,Bug,High,Support,U05
3608,Agency appear idea.,2025-04-19,2025-04-29,1.03,Improvement,High,Technical,U08
3609,Instead produce cause voice allow.,2025-04-22,2025-04-29,7.72,Improvement,Medium,Research,U09
3610,Know give million often read matter collection chair.,2025-03-08,2025-03-11,8.04,Improvement,Medium,Support,U09
3611,Husband consumer song million century join.,2025-04-08,2025-04-18,8.12,Feature,Low,Research,U06
3612,Similar political result human study return glass foreign.,2025-02-21,2025-02-23,4.9,Feature,High,Admin,U06
3613,Win trial economy attorney Mr site.,2025-01-05,2025-01-13,6.83,Feature,Medium,Technical,U10
3614,Size entire oil program maybe research area.,2025-01-08,2025-01-17,7.53,Bug,Medium,Support,U03
